year,year_rank,group,artist,song_name,id
1956,1,Elvis Presley,Elvis Presley,Heartbreak Hotel,1
1956,2,Elvis Presley,Elvis Presley,Don't Be Cruel,2
1956,3,Nelson Riddle,Nelson Riddle,Lisbon Antigua,3
1956,4,Platters,Platters,My Prayer,4
1956,5,Gogi Grant,Gogi Grant,The Wayward Wind,5
1956,6,Les Baxter,Les Baxter,The Poor People Of Paris,6
1956,7,Doris Day,Doris Day,Whatever Will Be Will Be (Que Sera Sera),7
1956,8,Elvis Presley,Elvis Presley,Hound Dog,8
1956,9,Dean Martin,Dean Martin,Memories Are Made Of This,9
1956,10,Kay Starr,Kay Starr,Rock And Roll Waltz,10
1956,11,Morris Stoloff,Morris Stoloff,"Moonglow And Theme From ""Picnic""",11
1956,12,Platters,Platters,The Great Pretender,12
1956,13,Pat Boone,Pat Boone,I Almost Lost My Mind,13
1956,14,Elvis Presley,Elvis Presley,"I Want You, I Need You, I Love You",14
1956,15,Elvis Presley,Elvis Presley,Love Me Tender,15
1956,16,Perry Como,Perry Como,Hot Diggity,16
1956,17,Eddie Heywood and Hugo Winterhalter,Eddie Heywood,Canadian Sunset,17
1956,17,Eddie Heywood and Hugo Winterhalter,Hugo Winterhalter,Canadian Sunset,18
1956,18,Carl Perkins,Carl Perkins,Blue Suede Shoes,19
1956,19,Jim Lowe,Jim Lowe,The Green Door,20
1956,20,Four Lads,Four Lads,"No, Not Much",21
1956,21,Bill Doggett,Bill Doggett,Honky Tonk,22
1956,22,Tennessee Ernie Ford,Tennessee Ernie Ford,Sixteen Tons,23
1956,23,Johnnie Ray,Johnnie Ray,Just Walking In The Rain,24
1956,24,Patti Page,Patti Page,Allegheny Moon,25
1956,25,Fats Domino,Fats Domino,I'm In Love Again,26
1956,26,Patience and Prudence,Patience and Prudence,Tonight You Belong To Me,27
1956,27,Gene Vincent,Gene Vincent,Be-Bop-A-Lula,28
1956,28,Frankie Lymon and The Teenagers,Frankie Lymon and The Teenagers,Why Do Fools Fall In Love,29
1956,29,Four Lads,Four Lads,Standing On The Corner,30
1956,30,Buchanan and Goodman,Buchanan and Goodman,The Flying Saucer,31
1956,31,George Cates,George Cates,Moonglow And Theme From Picnic,32
1956,32,Cathy Carr,Cathy Carr,Ivory Tower,33
1956,33,Bill Haley and His Comets,Bill Haley and His Comets,See You Later Alligator,34
1956,34,Pat Boone,Pat Boone,I'll Be Home,35
1956,35,Vic Damone,Vic Damone,On The Street Where You Live,36
1956,36,Platters,Platters,Magic Touch,37
1956,37,Chordettes,Chordettes,Born To Be With You,38
1956,38,Don Cherry,Don Cherry,Band Of Gold,39
1956,39,Perry Como,Perry Como,More,40
1956,40,Guy Mitchell,Guy Mitchell,Singing The Blues,41
1956,41,Fats Domino,Fats Domino,Blueberry Hill,42
1956,42,Sanford Clark,Sanford Clark,The Fool,43
1956,43,Don Robertson,Don Robertson,The Happy Whistler,44
1956,44,Bing Crosby and Grace Kelly,Bing Crosby,True Love,45
1956,44,Bing Crosby and Grace Kelly,Grace Kelly,True Love,46
1956,45,Little Richard,Little Richard,Long Tall Sally,47
1956,46,Teresa Brewer,Teresa Brewer,Sweet Old Fashioned Girl,48
1956,47,Nervous Norvus,Nervous Norvus,Transfusion,49
1956,48,Ames Brothers,Ames Brothers,It Only Hurts For A Little While,50
1956,49,Teresa Brewer,Teresa Brewer,A Tear Fell,51
1956,50,Lonnie Donegan,Lonnie Donegan,Rock Island Line,52
1956,51,Dream Weavers,Dream Weavers,It's Almost Tomorrow,53
1956,52,Pat Boone,Pat Boone,Friendly Persuasion (Thee I Love),54
1956,53,Frank Sinatra,Frank Sinatra,Hey Jealous Lover,55
1956,54,Eddy Heywood,Eddy Heywood,Soft Summer Breeze,56
1956,55,Andy Williams,Andy Williams,Canadian Sunset,57
1956,56,Eddie Fisher,Eddie Fisher,Dungaree Doll,58
1956,57,George Hamilton Iv,George Hamilton Iv,A Rose and a Baby Ruth,59
1956,58,Eddie Fisher,Eddie Fisher,Cindy Oh Cindy,60
1956,59,Jerry Vale,Jerry Vale,You Don't Know Me,61
1956,60,Dick Hyman,Dick Hyman,Moritat (Theme From Threepenny Opera),62
1956,61,Gale Storm,Gale Storm,Ivory Tower,63
1956,62,Joe Valino,Joe Valino,Garden of Eden,64
1956,63,Vince Martin and the Tarriers,Vince Martin and the Tarriers,Cindy Oh Cindy,65
1956,64,Otis Williams and the Charms,Otis Williams and the Charms,Ivory Tower,66
1956,65,Crew Cuts,Crew Cuts,Angels in the Sky,67
1956,66,Mitch Miller,Mitch Miller,Song For a Summer Night,68
1956,67,Gale Storm,Gale Storm,Why Do Fools Fall in Love,69
1956,68,Gale Storm,Gale Storm,Teen Age Prayer,70
1956,69,McGuire Sisters,McGuire Sisters,Picnic,71
1956,70,Al Hibbler,Al Hibbler,After the Lights Go Down Low,72
1956,71,Patti Page,Patti Page,Mama From the Train,73
1956,72,Nat King Cole,Nat King Cole,That's All There Is to That,74
1956,73,Kit Carson,Kit Carson,Band of Gold,75
1956,74,Tony Martin,Tony Martin,Walk Hand in Hand,76
1956,75,Diamonds,Diamonds,Why Do Fools Fall in Love,77
1956,76,Perry Como,Perry Como,Juke Box Baby,78
1956,77,Rusty Draper,Rusty Draper,Are You Satisfied,79
1956,78,Jo Stafford,Jo Stafford,It's Almost Tomorrow,80
1956,79,Platters,Platters,You'll Never Never Know,81
1956,80,Perry Como,Perry Como,Glendora,82
1956,81,Johnny Cash,Johnny Cash,I Walk the Line,83
1956,82,Tony Bennett,Tony Bennett,Can You Find It in Your Heart,84
1956,83,Pat Boone,Pat Boone,Tutti-Frutti,85
1956,84,Fontane Sisters,Fontane Sisters,Eddie My Love,86
1956,85,Don Rondo,Don Rondo,Two Different Worlds,87
1956,86,Jane Powell,Jane Powell,True Love,88
1956,87,Richard Hayman and Jan August,Richard Hayman,Moritat,89
1956,87,Richard Hayman and Jan August,Jan August,Moritat,90
1956,88,Nat King Cole,Nat King Cole,Night Lights,91
1956,89,Cadillacs,Cadillacs,Speedoo,92
1956,90,Diamonds,Diamonds,The Church Bells May Ring,93
1956,91,Peggy Lee,Peggy Lee,Mr Wonderful,94
1956,92,Fats Domino,Fats Domino,My Blue Heaven,95
1956,93,Clyde McPhatter,Clyde McPhatter,Treasure of Love,96
1956,94,Eileen Rodgers,Eileen Rodgers,Miracle of Love,97
1956,95,Frankie Lymon and the Teenagers,Frankie Lymon and the Teenagers,I Want You to Be My Girl,98
1956,96,Lawrence Welk,Lawrence Welk,Tonight You Belong to Me,99
1956,97,Chordettes,Chordettes,Lay Down Your Arms,100
